=== RESUMO GERAL ===
Distância Total (km),Tempo Total (h),Tempo Total (min)
1567.8,35.28,2116.99

=== DETALHES DA ROTA ===
Ordem,Ponto,Latitude,Longitude,Distância até próximo (km),Tempo até próximo (s),Bateria Restante (s),Ação,Horário
1,0,-25.4233146347775,-49.2160678044742,4.97,331.47,1408.53,FOTO,06:05
2,41,-25.3827108510463,-49.1953359321141,17.57,1171.12,177.42,FOTO,06:25
3,291,-25.4618345263762,-49.3467354210512,0,0,117.42,POUSO PARA RECARGA,06:25
4,291,-25.4618345263762,-49.3467354210512,5.15,343.37,1456.63,FOTO,06:30
5,190,-25.43427248628,-49.3055074800751,9.5,633.44,763.18,FOTO,06:41
6,277,-25.4857325221308,-49.2299521315212,8.14,542.67,160.51,FOTO,06:50
7,354,-25.555508412277,-49.2544885303963,0.52,34.58,65.93,FOTO,06:50
8,331,-25.5569929167696,-49.2495865835216,0,0,5.93,POUSO PARA RECARGA,06:50
9,331,-25.5569929167696,-49.2495865835216,18.23,1215.15,584.85,FOTO,07:11
10,164,-25.3958555000045,-49.2162615000035,2.96,197.28,327.57,FOTO,07:14
11,93,-25.3761139167061,-49.2360147500568,2.76,184.2,83.37,FOTO,07:17
12,239,-25.3975876007521,-49.2498549128683,0,0,23.37,POUSO PARA RECARGA,07:17
13,239,-25.3975876007521,-49.2498549128683,9.31,620.49,1179.51,FOTO,07:27
14,289,-25.4021230003188,-49.3423791541151,5.55,369.7,749.81,FOTO,07:34
15,86,-25.411751607072,-49.288206501747,8.07,538.28,151.53,FOTO,07:43
16,91,-25.4396831550178,-49.213992719196,1.32,88.32,3.21,FOTO,07:44
17,324,-25.4363060856137,-49.2266446131255,0,0,-56.79,POUSO PARA RECARGA,07:44
18,324,-25.4363060856137,-49.2266446131255,3.79,252.54,1547.46,FOTO,07:48
19,293,-25.4107437445588,-49.2017098689937,1.98,131.85,1355.61,FOTO,07:50
20,179,-25.4270763750322,-49.209505500185,4.95,329.92,965.7,FOTO,07:56
21,360,-25.4018593540355,-49.2501065029327,4.53,302.0,603.69,FOTO,08:01
22,336,-25.3649974344476,-49.2309054649185,3.81,254.0,289.69,FOTO,08:05
23,34,-25.399238,-49.229496,0,0,229.69,POUSO PARA RECARGA,08:05
24,34,-25.399238,-49.229496,3.49,232.83,1567.17,FOTO,08:09
25,114,-25.3861406843164,-49.1978955789077,1.95,130.01,1377.16,FOTO,08:11
26,311,-25.371866280235,-49.2091730004846,1.26,84.03,1233.13,FOTO,08:13
27,200,-25.3812692780083,-49.2161803524462,6.6,440.31,732.82,FOTO,08:20
28,327,-25.403621771614,-49.2770964271839,3.67,244.54,428.27,FOTO,08:24
29,17,-25.4089804447922,-49.3131316666906,1.57,104.88,263.39,FOTO,08:26
30,38,-25.4177303741766,-49.3254408265132,0.19,12.75,190.64,FOTO,08:26
31,368,-25.4160406938864,-49.3250852303798,0,0,130.64,POUSO PARA RECARGA,08:26
32,368,-25.4160406938864,-49.3250852303798,5.16,344.26,1455.74,FOTO,08:32
33,105,-25.4603003707953,-49.340657573102,3.41,227.3,1168.44,FOTO,08:36
34,251,-25.4902280000456,-49.348047000162,1.35,90.25,1018.19,FOTO,08:37
35,6,-25.4815524899573,-49.3385838295334,14.06,937.43,20.76,FOTO,08:53
36,130,-25.385069922368,-49.2480647046834,0,0,-39.24,POUSO PARA RECARGA,08:53
37,130,-25.385069922368,-49.2480647046834,1.69,112.45,1687.55,FOTO,08:55
38,342,-25.3715918782937,-49.2403618225252,0.91,60.89,1566.66,FOTO,08:56
39,227,-25.3772499488416,-49.2469517894625,7.16,477.13,1029.54,FOTO,09:03
40,175,-25.4121630005226,-49.3068074987427,2.26,150.46,819.07,FOTO,09:06
41,169,-25.4193944591681,-49.2858097118247,1.43,95.37,663.7,FOTO,09:08
42,215,-25.430157,-49.293614,6.0,399.99,203.71,FOTO,09:14
43,242,-25.4121197273283,-49.2373089094202,0.3,20.17,123.55,FOTO,09:15
44,223,-25.4130335000161,-49.2401459999717,0,0,63.55,POUSO PARA RECARGA,09:15
45,223,-25.4130335000161,-49.2401459999717,6.0,400.22,1399.78,FOTO,09:21
46,157,-25.4555670002028,-49.2033254441496,1.7,113.17,1226.61,FOTO,09:23
47,133,-25.4666337593647,-49.1916779820241,1.85,123.27,1043.34,FOTO,09:25
48,76,-25.4821304044981,-49.1983598981544,4.92,328.02,655.32,FOTO,09:31
49,103,-25.4623570695212,-49.2422078636873,0.5,33.03,562.29,FOTO,09:31
50,306,-25.4602953492636,-49.2465827083158,0,0,502.29,POUSO PARA RECARGA,09:31
51,306,-25.4602953492636,-49.2465827083158,11.46,763.89,1036.11,FOTO,09:44
52,278,-25.4650355019742,-49.3605952475877,2.28,151.8,824.31,FOTO,09:46
53,211,-25.4831184667002,-49.3499515999385,1.6,106.49,657.82,FOTO,09:48
54,149,-25.4974735953017,-49.3493514288727,1.87,124.93,472.9,FOTO,09:50
55,308,-25.5098119631631,-49.3366327775834,5.19,346.29,66.61,FOTO,09:56
56,125,-25.5404745077498,-49.2975794776044,0,0,6.61,POUSO PARA RECARGA,09:56
57,125,-25.5404745077498,-49.2975794776044,1.97,131.41,1668.59,FOTO,09:58
58,333,-25.5579957528383,-49.3005594977692,1.2,79.91,1528.69,FOTO,10:00
59,111,-25.5614706374337,-49.3118706658535,6.33,422.1,1046.59,FOTO,10:07
60,118,-25.5169970179923,-49.2724628977617,4.16,277.09,709.5,FOTO,10:11
61,340,-25.54320816435,-49.242931161733,0,0,649.5,POUSO PARA RECARGA,10:11
62,340,-25.54320816435,-49.242931161733,10.37,691.2,1108.8,FOTO,10:23
63,40,-25.4540745011999,-49.2732563508827,6.56,437.23,611.57,FOTO,10:30
