=== RESUMO GERAL ===
Distância Total (km),Tempo Total (h),Tempo Total (min)
2765.34,57.46,3447.6

=== DETALHES DA ROTA ===
Ordem,Ponto,Latitude,Longitude,Distância até próximo (km),Tempo até próximo (s),Bateria Restante (s),Ação,Horário,Dia
1,0,-25.4233146347775,-49.2160678044742,11.88,791.98,948.02,FOTO,06:13,1
2,31,-25.5038132404982,-49.2938690633352,7.82,521.36,366.66,FOTO,06:21,1
3,190,-25.43427248628,-49.3055074800751,2.72,181.24,125.42,FOTO,06:24,1
4,38,-25.4177303741766,-49.3254408265132,0,0,65.42,POUSO PARA RECARGA,06:24,1
5,38,-25.4177303741766,-49.3254408265132,8.56,570.73,1229.27,FOTO,06:34,1
6,356,-25.4425802500035,-49.2447534999719,4.61,307.21,862.06,FOTO,06:39,1
7,198,-25.4840165002992,-49.2455067502822,5.35,356.37,445.69,FOTO,06:45,1
8,23,-25.5278877309024,-49.2672872891657,0,0,385.69,POUSO PARA RECARGA,06:45,1
9,23,-25.5278877309024,-49.2672872891657,9.79,652.76,1147.24,FOTO,06:56,1
10,295,-25.4654572500437,-49.1984884999811,3.77,251.31,835.93,FOTO,07:00,1
11,314,-25.4362783812433,-49.2176039050576,6.12,407.85,368.08,FOTO,07:07,1
12,371,-25.4903390577391,-49.20628701026,0.26,17.04,291.04,FOTO,07:07,1
13,259,-25.4924960602498,-49.2054049266086,0,0,231.04,POUSO PARA RECARGA,07:07,1
14,259,-25.4924960602498,-49.2054049266086,4.99,332.53,1467.47,FOTO,07:13,1
15,103,-25.4623570695212,-49.2422078636873,9.68,645.63,761.84,FOTO,07:23,1
16,352,-25.4843712333489,-49.3355483883407,2.9,193.19,508.65,FOTO,07:27,1
17,238,-25.4711980670357,-49.3106388116797,0,0,448.65,POUSO PARA RECARGA,07:27,1
18,238,-25.4711980670357,-49.3106388116797,11.0,733.2,1066.8,FOTO,07:39,1
19,244,-25.5687003611858,-49.3290482775162,1.51,100.57,906.23,FOTO,07:41,1
20,115,-25.5562061667039,-49.3231896667236,0,0,846.23,POUSO PARA RECARGA,07:41,1
21,115,-25.5562061667039,-49.3231896667236,13.75,916.99,883.01,FOTO,07:56,1
22,163,-25.4338997893551,-49.3437087449233,0,0,823.01,POUSO PARA RECARGA,07:56,1
23,163,-25.4338997893551,-49.3437087449233,13.14,875.74,924.26,FOTO,08:10,1
24,22,-25.4055829533743,-49.2167226661471,0,0,864.26,POUSO PARA RECARGA,08:10,1
25,22,-25.4055829533743,-49.2167226661471,21.34,1422.94,377.06,FOTO,08:34,1
26,351,-25.5630048148415,-49.3383968771216,3.7,246.56,70.51,FOTO,08:38,1
27,194,-25.5959260714452,-49.3331487620149,0,0,10.51,POUSO PARA RECARGA,08:38,1
28,194,-25.5959260714452,-49.3331487620149,2.99,199.04,1600.96,FOTO,08:42,1
29,119,-25.569416591018,-49.337872181861,2.45,163.53,1377.43,FOTO,08:44,1
30,191,-25.5871765229344,-49.3233641230418,4.38,292.04,1025.39,FOTO,08:49,1
31,10,-25.6154928550559,-49.3537353191769,0,0,965.39,POUSO PARA RECARGA,08:49,1
32,10,-25.6154928550559,-49.3537353191769,21.51,1434.31,365.69,FOTO,09:13,1
33,76,-25.4821304044981,-49.1983598981544,2.54,169.24,136.46,FOTO,09:16,1
34,192,-25.4663186667815,-49.2166009443659,0,0,76.46,POUSO PARA RECARGA,09:16,1
35,192,-25.4663186667815,-49.2166009443659,9.82,654.47,1145.53,FOTO,09:27,1
36,261,-25.4086845373433,-49.2906611455039,1.12,74.57,1010.96,FOTO,09:28,1
37,328,-25.4089459015341,-49.3017935380524,1.42,94.5,856.46,FOTO,09:30,1
38,94,-25.4214634286453,-49.3044615715174,6.74,449.11,347.35,FOTO,09:37,1
39,151,-25.4761700909245,-49.2756320910121,3.72,247.76,39.59,FOTO,09:41,1
40,218,-25.5039440665513,-49.2550349720709,0,0,-20.41,POUSO PARA RECARGA,09:41,1
41,218,-25.5039440665513,-49.2550349720709,5.93,395.4,1404.6,FOTO,09:48,1
42,279,-25.468586333766,-49.2107938551622,1.63,108.69,1235.91,FOTO,09:50,1
43,157,-25.4555670002028,-49.2033254441496,3.66,243.7,932.21,FOTO,09:54,1
44,309,-25.4881320075695,-49.208315008611,11.66,777.46,94.74,FOTO,10:07,1
45,327,-25.403621771614,-49.2770964271839,0,0,34.74,POUSO PARA RECARGA,10:07,1
46,327,-25.403621771614,-49.2770964271839,3.04,202.39,1597.61,FOTO,10:10,1
47,298,-25.3763584193723,-49.2754817420857,1.15,76.48,1461.13,FOTO,10:11,1
48,236,-25.3755612295988,-49.2640974005018,4.97,331.65,1069.48,FOTO,10:17,1
49,281,-25.4146626252933,-49.2400308757049,8.95,596.86,412.62,FOTO,10:27,1
50,42,-25.4878438322257,-49.2772121864255,0,0,352.62,POUSO PARA RECARGA,10:27,1
51,42,-25.4878438322257,-49.2772121864255,7.53,502.18,1297.82,FOTO,10:35,1
52,68,-25.5548054287395,-49.2658406002244,15.52,1034.43,203.39,FOTO,10:52,1
53,330,-25.4179269867733,-49.2959062863188,0,0,143.39,POUSO PARA RECARGA,10:52,1
54,330,-25.4179269867733,-49.2959062863188,7.25,483.3,1316.7,FOTO,11:00,1
55,324,-25.4363060856137,-49.2266446131255,6.21,413.96,842.74,FOTO,11:07,1
56,200,-25.3812692780083,-49.2161803524462,0,0,782.74,POUSO PARA RECARGA,11:07,1
57,200,-25.3812692780083,-49.2161803524462,15.32,1021.03,778.97,FOTO,11:24,1
58,49,-25.5042910428287,-49.2847716627966,4.67,311.36,407.61,FOTO,11:30,1
59,326,-25.4631702181385,-49.2942522954363,0,0,347.61,POUSO PARA RECARGA,11:30,1
60,326,-25.4631702181385,-49.2942522954363,8.92,594.62,1205.38,FOTO,11:39,1
61,219,-25.4096763580765,-49.3604395248946,16.34,1089.58,55.8,FOTO,11:58,1
62,318,-25.5127671393955,-49.2444025714353,0,0,-4.2,POUSO PARA RECARGA,11:58,1
63,318,-25.5127671393955,-49.2444025714353,5.76,384.13,1415.87,FOTO,12:04,1
64,9,-25.4625848305665,-49.2300931009572,2.69,179.55,1176.32,FOTO,12:07,1
65,329,-25.4467561755521,-49.2503976846901,11.48,765.22,351.1,FOTO,12:20,1
66,11,-25.5457748986399,-49.2827186530876,0,0,291.1,POUSO PARA RECARGA,12:20,1
67,11,-25.5457748986399,-49.2827186530876,7.07,471.1,1328.9,FOTO,12:28,1
