CEP inicial,Latitude inicial,Longitude inicial,Dia do vôo,Hora inicial,Velocidade,CEP final,Latitude final,Longitude final,Pouso,Hora final
82821020,-25.4233146347775,-49.2160678044742,1,06:14,54,81820330,-25.5169970179923,-49.2724628977617,NÃO,06:20
81820330,-25.5169970179923,-49.2724628977617,1,06:21,54,80220380,-25.4622493336364,-49.2552576680305,NÃO,06:25
80220380,-25.4622493336364,-49.2552576680305,1,06:26,54,82930030,-25.4568138879969,-49.2056962318778,NÃO,06:25
82930030,-25.4568138879969,-49.2056962318778,1,06:26,54,82930030,-25.4568138879969,-49.2056962318778,SIM,06:36
82930030,-25.4568138879969,-49.2056962318778,1,06:37,54,82650210,-25.3791995264108,-49.2479747365615,NÃO,06:37
82650210,-25.3791995264108,-49.2479747365615,1,06:38,54,82650320,-25.3737566254647,-49.2469140011033,NÃO,06:37
82650320,-25.3737566254647,-49.2469140011033,1,06:38,54,82650320,-25.3737566254647,-49.2469140011033,SIM,06:55
82650320,-25.3737566254647,-49.2469140011033,1,06:56,54,81260412,-25.4811505865638,-49.3545312407406,NÃO,07:01
81260412,-25.4811505865638,-49.3545312407406,1,07:02,54,82310433,-25.43107,-49.372483,NÃO,07:01
82310433,-25.43107,-49.372483,1,07:02,54,82310433,-25.43107,-49.372483,SIM,07:07
82310433,-25.43107,-49.372483,1,07:08,54,82400000,-25.4008242454259,-49.335596235314,NÃO,07:13
82400000,-25.4008242454259,-49.335596235314,1,07:14,54,80510325,-25.4198156998607,-49.2790781765687,NÃO,07:13
80510325,-25.4198156998607,-49.2790781765687,1,07:14,54,80510325,-25.4198156998607,-49.2790781765687,SIM,07:31
80510325,-25.4198156998607,-49.2790781765687,1,07:32,54,81940200,-25.5579957528383,-49.3005594977692,NÃO,07:40
81940200,-25.5579957528383,-49.3005594977692,1,07:41,54,81490010,-25.6154928550559,-49.3537353191769,NÃO,07:40
81490010,-25.6154928550559,-49.3537353191769,1,07:41,54,81490010,-25.6154928550559,-49.3537353191769,SIM,07:57
81490010,-25.6154928550559,-49.3537353191769,1,07:58,54,81750280,-25.5127671393955,-49.2444025714353,NÃO,08:00
81750280,-25.5127671393955,-49.2444025714353,1,08:01,54,81770160,-25.5296962833892,-49.244546883763,NÃO,08:00
81770160,-25.5296962833892,-49.244546883763,1,08:01,54,81770160,-25.5296962833892,-49.244546883763,SIM,08:09
81770160,-25.5296962833892,-49.244546883763,1,08:10,54,80320140,-25.4645330930821,-49.294537482629,NÃO,08:20
80320140,-25.4645330930821,-49.294537482629,1,08:21,54,82410316,-25.3849215000131,-49.328439749977,NÃO,08:20
82410316,-25.3849215000131,-49.328439749977,1,08:21,54,82410316,-25.3849215000131,-49.328439749977,SIM,08:40
82410316,-25.3849215000131,-49.328439749977,1,08:41,54,81910030,-25.5361378385276,-49.2685374132639,NÃO,08:40
81910030,-25.5361378385276,-49.2685374132639,1,08:41,54,81910030,-25.5361378385276,-49.2685374132639,SIM,08:52
81910030,-25.5361378385276,-49.2685374132639,1,08:53,54,82990000,-25.4637044472508,-49.198121637253,NÃO,09:00
82990000,-25.4637044472508,-49.198121637253,1,09:01,54,80040150,-25.419191727292,-49.2505313635874,NÃO,09:01
80040150,-25.419191727292,-49.2505313635874,1,09:02,54,80060170,-25.4278721677395,-49.2593020468696,NÃO,09:01
80060170,-25.4278721677395,-49.2593020468696,1,09:02,54,80060170,-25.4278721677395,-49.2593020468696,SIM,09:07
80060170,-25.4278721677395,-49.2593020468696,1,09:08,54,81010130,-25.4764195588417,-49.273155691529,NÃO,09:15
81010130,-25.4764195588417,-49.273155691529,1,09:16,54,81315685,-25.5115270000027,-49.3255583333193,NÃO,09:21
81315685,-25.5115270000027,-49.3255583333193,1,09:22,54,81230480,-25.4646281053601,-49.3394493683984,NÃO,09:21
81230480,-25.4646281053601,-49.3394493683984,1,09:22,54,81230480,-25.4646281053601,-49.3394493683984,SIM,09:28
81230480,-25.4646281053601,-49.3394493683984,1,09:29,54,80410000,-25.4213661621413,-49.2875646174355,NÃO,09:35
80410000,-25.4213661621413,-49.2875646174355,1,09:36,54,82560040,-25.385069922368,-49.2480647046834,NÃO,09:40
82560040,-25.385069922368,-49.2480647046834,1,09:41,54,80045270,-25.4269458358083,-49.2498379452408,NÃO,09:45
80045270,-25.4269458358083,-49.2498379452408,1,09:46,54,82840140,-25.4035558681452,-49.2092009936114,NÃO,09:45
