CEP inicial,Latitude inicial,Longitude inicial,Dia do voo,Hora inicial,Velocidade,CEP final,Latitude final,Longitude final,Pouso,Hora final
82960488,-25.4654066369594,-49.210649939143,1,06:00:00,30,81530380,-25.4625848305665,-49.2300931009572,NÃO,06:03:58
81530380,-25.4625848305665,-49.2300931009572,1,06:03:58,30,81510570,-25.4741691564102,-49.242520655745,NÃO,06:07:34
81510570,-25.4741691564102,-49.242520655745,1,06:07:34,30,80010200,-25.4499691308346,-49.2748090324017,NÃO,06:16:00
80010200,-25.4499691308346,-49.2748090324017,1,06:16:00,30,81200030,-25.4339218572309,-49.3305021428569,NÃO,06:27:45
81200030,-25.4339218572309,-49.3305021428569,1,06:28:45,30,81170662,-25.5172792272985,-49.3183728182903,SIM,06:47:27
81170662,-25.5172792272985,-49.3183728182903,1,06:48:27,30,82630100,-25.3812692780083,-49.2161803524462,SIM,07:25:01
82630100,-25.3812692780083,-49.2161803524462,1,07:26:01,30,81520290,-25.4627057622716,-49.2410266625473,SIM,07:44:49
81520290,-25.4627057622716,-49.2410266625473,1,07:45:49,30,81315685,-25.5115270000027,-49.3255583333193,SIM,08:05:58
81315685,-25.5115270000027,-49.3255583333193,1,08:06:58,30,82630290,-25.371866280235,-49.2091730004846,SIM,08:45:51
82630290,-25.371866280235,-49.2091730004846,1,08:46:51,30,82920090,-25.4493406843058,-49.2065936315104,SIM,09:04:06
82920090,-25.4493406843058,-49.2065936315104,1,09:05:06,30,81470256,-25.569416591018,-49.337872181861,SIM,09:42:37
81470256,-25.569416591018,-49.337872181861,1,09:43:37,30,82515190,-25.399238,-49.229496,SIM,10:27:17
82515190,-25.399238,-49.229496,1,10:28:17,30,82410316,-25.3849215000131,-49.328439749977,SIM,10:48:25
82410316,-25.3849215000131,-49.328439749977,1,10:49:25,30,82900480,-25.445789018659,-49.2173394258684,SIM,11:15:32
82900480,-25.445789018659,-49.2173394258684,1,11:16:32,30,81220170,-25.4569440522711,-49.3221956960987,SIM,11:37:45
81220170,-25.4569440522711,-49.3221956960987,1,11:38:45,30,81280125,-25.4406127564945,-49.3601132684004,SIM,11:47:12
81280125,-25.4406127564945,-49.3601132684004,1,11:47:12,30,81450340,-25.4902346316319,-49.3486330527676,NÃO,11:58:29
81450340,-25.4902346316319,-49.3486330527676,1,11:59:29,30,80330250,-25.4685255880972,-49.3077515647853,SIM,12:09:01
80330250,-25.4685255880972,-49.3077515647853,1,12:09:01,30,80210200,-25.4425802500035,-49.2447534999719,NÃO,12:22:56
80210200,-25.4425802500035,-49.2447534999719,1,12:23:56,30,81250210,-25.4756844576971,-49.3473682666473,SIM,12:45:49
81250210,-25.4756844576971,-49.3473682666473,1,12:46:49,30,80240550,-25.4533378888945,-49.3034312777902,SIM,12:56:57
80240550,-25.4533378888945,-49.3034312777902,1,12:57:57,30,81490398,-25.5963908362783,-49.3358913045797,SIM,13:30:26
81490398,-25.5963908362783,-49.3358913045797,1,13:31:26,30,82510100,-25.409050749392,-49.2385843936,SIM,14:17:27
82510100,-25.409050749392,-49.2385843936,1,14:18:27,30,81580050,-25.4911705040405,-49.228041043675,SIM,14:36:51
81580050,-25.4911705040405,-49.228041043675,1,14:37:51,30,82650060,-25.3808622827653,-49.242762203191,SIM,15:02:34
82650060,-25.3808622827653,-49.242762203191,1,15:03:34,30,81010170,-25.4783570614136,-49.2757205974116,SIM,15:26:15
81010170,-25.4783570614136,-49.2757205974116,1,15:27:15,30,82520590,-25.4131761050287,-49.2261971905551,SIM,15:44:50
82520590,-25.4131761050287,-49.2261971905551,1,15:45:50,30,81590270,-25.4844592157371,-49.203473764438,SIM,16:02:20
81590270,-25.4844592157371,-49.203473764438,1,16:03:20,30,81312000,-25.5030856483401,-49.3152229520216,SIM,16:26:09
81312000,-25.5030856483401,-49.3152229520216,1,16:27:09,30,80610300,-25.463999400884,-49.2889687454307,SIM,16:37:19
80610300,-25.463999400884,-49.2889687454307,1,16:37:19,30,81750280,-25.5127671393955,-49.2444025714353,NÃO,16:51:23
81750280,-25.5127671393955,-49.2444025714353,1,16:52:23,30,81020150,-25.4852090685074,-49.2875810685635,SIM,17:03:00
81020150,-25.4852090685074,-49.2875810685635,1,17:03:00,30,82930370,-25.4627990031427,-49.2053096781914,NÃO,17:20:16
82930370,-25.4627990031427,-49.2053096781914,1,17:21:16,30,81935317,-25.5574814410697,-49.2659726298718,SIM,17:45:36
81935317,-25.5574814410697,-49.2659726298718,1,17:46:36,30,81320290,-25.4748252660661,-49.3107362306741,SIM,18:07:04
81320290,-25.4748252660661,-49.3107362306741,1,18:08:04,30,81470290,-25.5737515550149,-49.3412589936849,SIM,18:30:55
81470290,-25.5737515550149,-49.3412589936849,1,18:31:55,30,80820500,-25.4107702686398,-49.3021048645381,SIM,19:09:01
80820500,-25.4107702686398,-49.3021048645381,1,19:10:01,30,81470255,-25.569630444458,-49.3374921110026,SIM,19:46:04
81470255,-25.569630444458,-49.3374921110026,1,19:47:04,30,81330220,-25.4843712333489,-49.3355483883407,SIM,20:06:02
81330220,-25.4843712333489,-49.3355483883407,1,20:07:02,30,82015110,-25.4160406938864,-49.3250852303798,SIM,20:22:23
82015110,-25.4160406938864,-49.3250852303798,1,20:23:23,30,81910160,-25.530759191602,-49.2694617027723,SIM,20:51:14
81910160,-25.530759191602,-49.2694617027723,1,20:52:14,30,82930030,-25.4568138879969,-49.2056962318778,SIM,21:13:05
82930030,-25.4568138879969,-49.2056962318778,1,21:14:05,30,81210070,-25.4427148131246,-49.3268133751402,SIM,21:38:37
81210070,-25.4427148131246,-49.3268133751402,1,21:39:37,30,82020770,-25.4035799002893,-49.3165390673192,SIM,21:48:34
82020770,-25.4035799002893,-49.3165390673192,1,21:49:34,30,81150330,-25.5222469145844,-49.3046045806688,SIM,22:16:04
81150330,-25.5222469145844,-49.3046045806688,1,22:17:04,30,81940210,-25.5603014782721,-49.2872240368535,SIM,22:26:14
81940210,-25.5603014782721,-49.2872240368535,1,22:26:14,30,81670260,-25.5039440665513,-49.2550349720709,NÃO,22:40:20
81670260,-25.5039440665513,-49.2550349720709,1,22:41:20,30,81350686,-25.4936598469491,-49.3400481020638,SIM,22:58:34
81350686,-25.4936598469491,-49.3400481020638,1,22:58:34,30,81250482,-25.4865966553425,-49.3378683447999,NÃO,23:00:12
81250482,-25.4865966553425,-49.3378683447999,1,23:00:12,30,81170370,-25.514465668778,-49.3258065209142,NÃO,23:06:52
81170370,-25.514465668778,-49.3258065209142,1,23:07:52,30,82320340,-25.399199941043,-49.3477109219031,SIM,23:33:53
82320340,-25.399199941043,-49.3477109219031,1,23:34:53,30,81260350,-25.4831184667002,-49.3499515999385,SIM,23:53:34
81260350,-25.4831184667002,-49.3499515999385,1,23:54:34,30,81470055,-25.5630048148415,-49.3383968771216,SIM,00:12:29
81470055,-25.5630048148415,-49.3383968771216,1,00:13:29,30,82560040,-25.385069922368,-49.2480647046834,SIM,00:57:01
82560040,-25.385069922368,-49.2480647046834,1,00:58:01,30,81570001,-25.4825630317905,-49.2238324147895,SIM,01:20:15
81570001,-25.4825630317905,-49.2238324147895,1,01:21:15,30,82650320,-25.3737566254647,-49.2469140011033,SIM,01:45:54
82650320,-25.3737566254647,-49.2469140011033,1,01:46:54,30,80710350,-25.4333576000608,-49.3086768002282,SIM,02:05:04
80710350,-25.4333576000608,-49.3086768002282,1,02:05:04,30,81220100,-25.4557352095908,-49.3256450071633,NÃO,02:11:06
